id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,carry_end_location,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,clearance_head,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_cross,pass_inswinging,pass_technique_id,pass_technique_name,50_50_outcome_id,50_50_outcome_name,shot_saved_to_post,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_shot_saved_to_post,shot_first_time,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,shot_one_on_one,pass_outswinging,shot_aerial_won,clearance_aerial_won,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,goalkeeper_punched_out,foul_committed_penalty,foul_won_penalty,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,pass_cut_back,ball_recovery_recovery_failure,pass_goal_assist,shot_open_goal,timestamp_seconds,time_since_last_event,distance_to_goal,event_type_50/50,event_type_Ball Receipt*,event_type_Ball Recovery,event_type_Block,event_type_Carry,event_type_Clearance,event_type_Dispossessed,event_type_Dribble,event_type_Dribbled Past,event_type_Duel,event_type_Foul Committed,event_type_Foul Won,event_type_Goal Keeper,event_type_Half End,event_type_Half Start,event_type_Interception,event_type_Miscontrol,event_type_Pass,event_type_Player Off,event_type_Player On,event_type_Pressure,event_type_Shield,event_type_Shot,event_type_Starting XI,event_type_Substitution,event_type_Tactical Shift,pitch_control_score
b47ec0e7-4bff-4a19-a54e-6d04827ab077,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,4231.0,"[{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 10727, 'name': 'Răzvan Dincă Raț'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 23761, 'name': 'Alhassane Bangoura'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 9246, 'name': 'Patrick Ebert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.24867593199391647
dc2f9a50-c1a3-4684-82c2-9cb172d65b35,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,360,Rayo Vallecano,1,Regular Play,214,Espanyol,4231.0,"[{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7150364152305906
b64b7e63-9641-45a8-a647-93291616e738,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,360,Rayo Vallecano,1,Regular Play,214,Espanyol,,,['bf383d88-35fb-4a42-b513-59e4ed4b79b7'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7479847080662402
bf383d88-35fb-4a42-b513-59e4ed4b79b7,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['b64b7e63-9641-45a8-a647-93291616e738'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.26137115430551605
af4d92e6-2ed4-4a22-beea-6d5a7c29e37d,5,1,00:00:02.486,0,2,2,1.55788,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['829682cb-d061-4221-8cc8-c9499763f0c1'],True,"[61.0, 40.1]",7781.0,Felipe Salvador Caicedo Corozo,23.0,Center Forward,16456.0,Enzo Pablo Roco Roco,31.123142,3.1030266,1.0,Ground Pass,"[29.9, 41.3]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.486,2.486,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.15944718355215493
829682cb-d061-4221-8cc8-c9499763f0c1,6,1,00:00:04.044,0,4,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['af4d92e6-2ed4-4a22-beea-6d5a7c29e37d'],,"[29.9, 41.3]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.044,1.5579999999999994,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.021130482637195303
0689e23f-b229-45aa-b156-67b3dda34c20,7,1,00:00:05.149,0,5,2,2.366951,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['2415d188-341d-4613-a63c-930326f0b09e', '5c3b65bd-0a97-4298-86fd-8d35489911d1']",,"[29.7, 41.5]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,7781.0,Felipe Salvador Caicedo Corozo,53.315853,0.39060703,3.0,High Pass,"[79.0, 61.8]",40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.149,1.1050000000000004,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8778271169844222
5c3b65bd-0a97-4298-86fd-8d35489911d1,8,1,00:00:07.516,0,7,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['0689e23f-b229-45aa-b156-67b3dda34c20'],,"[78.0, 65.2]",7781.0,Felipe Salvador Caicedo Corozo,23.0,Center Forward,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.516,2.367,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.659020254656981
65714af1-9c51-444e-bcff-8db2e658342e,9,1,00:00:07.516,0,7,2,0.0,4,Duel,214,Espanyol,9,From Kick Off,214,Espanyol,,,['2415d188-341d-4613-a63c-930326f0b09e'],,"[79.0, 61.8]",7781.0,Felipe Salvador Caicedo Corozo,23.0,Center Forward,,,,,,,,,,,,,,,,True,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.516,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6163738256946256
2415d188-341d-4613-a63c-930326f0b09e,10,1,00:00:07.516,0,7,2,3.150906,30,Pass,214,Espanyol,9,From Kick Off,360,Rayo Vallecano,,,"['0689e23f-b229-45aa-b156-67b3dda34c20', '65714af1-9c51-444e-bcff-8db2e658342e', '998bbdc6-eb22-485e-b4eb-50b3377b85ee']",,"[41.1, 18.3]",26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,,,39.545544,-0.11149497,3.0,High Pass,"[80.4, 13.9]",,,66.0,Recovery,9.0,Incomplete,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.516,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.2070647073538895
